City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
249,kangal,39.1728,37.6152,63.16,56,56,18.05,TR,1687510800
250,south hedland,-20.9226,118.5827,73.58,26,1,10.78,AU,1687492800
251,aldan,58.6614,123.6118,68.4,53,14,9.89,RU,1687489200
252,canacona,14.9704,73.9607,82.47,80,80,8.88,IN,1687501800
253,concepcion del oro,24.7585,-101.0369,91.22,18,5,17.83,MX,1687456800
254,mudgee,-32.0093,149.7063,53.78,51,64,14.65,AU,1687485600
255,huambo,-12.7539,15.6958,79.11,15,0,6.2,AO,1687514400
256,revin,49.9295,4.6625,77.38,46,15,6.6,FR,1687518000
257,'ibri,23.0637,56.3415,118.92,6,41,21.05,OM,1687507200
258,omis,42.951,16.5716,75.45,83,100,13.22,HR,1687514400
259,borovikha,53.5109,83.8523,66.78,37,79,12.75,RU,1687500000
260,calvinia,-30.8366,20.1368,71.56,18,0,16.8,ZA,1687514400
261,darab,28.0739,54.9672,113.81,6,26,16.55,IR,1687505400
262,zheleznogorsk-ilimskiy,56.6009,104.6992,73.53,53,72,7.94,RU,1687496400
263,tarakan,3.4398,116.9078,87.58,67,79,5.21,ID,1687492800
264,chul'man,57.0336,125.4489,64.22,55,68,8.46,RU,1687489200
265,lepsy,47.7008,77.7852,81.66,17,84,21.03,KZ,1687500000
266,igreja,15.3879,-24.5137,75.58,88,100,22.19,CV,1687525200
267,wabag,-4.9378,144.4565,86.72,63,100,3.04,PG,1687485600
268,karakol,42.4323,78.3432,68.43,50,1,8.19,KG,1687500000
269,dezhou,37.8146,116.1389,106.18,15,0,18.23,CN,1687492800
270,newcastle,-27.5975,29.7612,63.19,28,0,10.47,ZA,1687514400
271,mohale's hoek,-29.9979,27.5625,59.49,27,0,10.27,LS,1687514400
272,ambato boeny,-16.2417,47.0884,87.28,29,0,6.49,MG,1687507200
273,ji'an,26.59,115.0059,70.88,99,100,4.9,CN,1687492800
274,langepas,59.2499,74.8332,53.49,51,100,8.88,RU,1687503600
275,moss,59.3148,10.6866,73.72,44,0,10.94,NO,1687518000
276,minchinbury,-33.8099,150.8554,63.77,51,2,12.73,AU,1687482000
277,verkhniy baskunchak,47.9693,46.8629,80.13,27,100,12.17,RU,1687507200
278,tharad,24.5981,71.3742,93.96,55,84,17.52,IN,1687501800
279,moree,-28.7877,149.1673,63.25,40,0,17.25,AU,1687485600
280,as sulayyil,18.197,47.9364,107.87,7,3,10.02,SA,1687507200
281,vad,55.5138,44.3154,66.51,49,65,9.46,RU,1687510800
282,emerald,-25.2381,145.7189,72.28,32,39,11.45,AU,1687485600
283,bandar labuan,5.6492,115.2557,84.56,73,87,7.47,MY,1687492800
284,quievrechain,50.306,3.7249,75.88,52,36,10.29,FR,1687518000
285,salekhard,67.5222,69.1174,37.51,96,100,19.46,RU,1687503600
286,filadelfia,-20.9592,-61.0725,80.33,58,74,12.84,PY,1687449600
287,elele,5.1279,6.9279,76.64,94,100,6.13,NG,1687518000
288,kihoku-cho,33.2645,132.7491,69.48,73,100,5.26,JP,1687489200
289,cuxhaven,54.0606,8.8212,65.39,69,100,15.77,DE,1687518000
290,diebougou,10.868,-3.0893,100.63,41,80,8.21,BF,1687521600
291,spanish wells,25.7241,-76.9835,82.67,82,100,17.87,BS,1687453200
292,geidam,12.7567,12.2291,100.11,32,91,13.98,NG,1687518000
293,isiro,2.7029,26.4032,81.97,74,94,3.36,CD,1687514400
294,weiser,44.5035,-116.8405,69.51,26,0,3.8,US,1687460400
295,wewak,-2.6687,143.9937,83.1,71,100,6.96,PG,1687485600
296,hami,37.3941,91.4708,50.61,25,22,21.77,CN,1687496400
297,leninskiy,54.2513,37.4971,70.43,81,94,9.22,RU,1687510800
298,rikaze,30.9654,88.3866,54.14,16,7,13.15,CN,1687500000
299,puerto maldonado,-12.2304,-69.0374,90.48,50,5,3.47,PE,1687449600
300,gvardeysk,54.4783,21.1083,72.72,48,100,9.19,RU,1687514400
301,rawai,7.5425,98.3305,88.09,69,100,16.75,TH,1687496400
302,hayma',20.5242,57.1635,116.02,10,10,15.46,OM,1687507200
303,mayuge,0.1341,33.5755,72.54,82,87,5.59,UG,1687510800
304,muana,-0.8372,-49.2498,85.53,66,34,9.95,BR,1687446000
305,alajarvi,63.2352,23.7857,70.38,57,88,10.58,FI,1687514400
306,dalandzadgad,44.3706,104.689,89.19,19,100,24.96,MN,1687496400
307,caetite,-13.8591,-42.4075,78.17,44,5,12.82,BR,1687442400
